STAID,DRAIN_SQKM,BFI_AVE,area_bin,BFI_bin,LAT_GAGE,LNG_GAGE,STATE,HUC02,request_success,request_http_status,request_error,usgs_site_valid,has_parameter_00060,returned_observation_count,first_timestamp_utc,last_timestamp_utc,native_timestep_minutes,native_timestep_share,inferred_timestep_mode,hourly_values_count,expected_hourly_count,hourly_completeness_pct,units_original,units_output,unit_conversion_applied,completeness_class,preliminary_status,rbi,max_hourly_dqdt_m3s_per_hr,normalized_max_hourly_dqdt,q95_event_count,q99_event_count,notes,probe_stratum_x,probe_rank_in_stratum_x,probe_order,probe_stratum_y,probe_rank_in_stratum_y,probe_stratum,probe_rank_in_stratum
03302050,10.6821,23.0,10-100 km²,20-30,38.047848,-85.857185,KY,05,True,200,,True,True,35128,2023-10-01T04:00:00+00:00,2024-10-01T03:45:00+00:00,15.0,0.9999430637401429,sub-hourly,8780,8784,99.954,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.1474864060795215,6.95751999977088,75.79788756760726,439.0,88.0,Native sub-hourly data required hourly resampling,,,,,,10-100 km² | 20-30,4.0
03302500,330.3756,23.16117,100-1000 km²,20-30,38.27645522,-86.10969403,IN,05,True,200,,True,True,0,,,,,sparse,0,8784,0.0,,m3/s,False,INSUFFICIENT,NO_DATA,,,,,,No 00060 observations returned for the probe window,,,,,,100-1000 km² | 20-30,4.0
03350100,47.304,32.44357,10-100 km²,30-40,40.10142591,-86.0860987,IN,05,True,200,,True,True,0,,,,,sparse,0,8784,0.0,,m3/s,False,INSUFFICIENT,NO_DATA,,,,,,No 00060 observations returned for the probe window,,,,,,10-100 km² | 30-40,3.0
03586500,423.4077,35.45457,100-1000 km²,30-40,34.67009046,-87.31724293,AL,06,True,200,,True,True,35103,2023-10-01T05:00:00+00:00,2024-10-01T04:45:00+00:00,15.0,0.9992023246538658,sub-hourly,8779,8784,99.943,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.029944597275852986,11.503718928000001,1.6625639724127435,439.0,88.0,Native sub-hourly data required hourly resampling,,,,,,100-1000 km² | 30-40,3.0
04188496,134.7102,19.87541,100-1000 km²,<=20,40.97922,-83.653265,OH,04,True,200,,True,True,35136,2023-10-01T04:00:00+00:00,2024-10-01T03:45:00+00:00,15.0,1.0,sub-hourly,8780,8784,99.954,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.05616898483041961,5.0418145357055995,5.9163174420002065,440.0,88.0,Native sub-hourly data required hourly resampling,,,,,,100-1000 km² | <=20,5.0
04197170,95.20831,19.37028,10-100 km²,<=20,41.11366592,-83.16825212,OH,04,True,200,,True,True,30233,2023-10-01T06:15:00+00:00,2024-10-01T03:45:00+00:00,15.0,0.9870336067742789,sub-hourly,7834,8784,89.185,ft3/s,m3/s,True,PARTIAL_USABLE,PARTIAL_USABLE,0.0671623196645177,7.447330653696001,9.171873047892223,393.0,79.0,Native sub-hourly data required hourly resampling,,,,,,10-100 km² | <=20,5.0
05420680,896.9979,49.29504,100-1000 km²,40-50,42.836091,-92.2574,IA,07,True,200,,True,True,32400,2023-10-01T05:00:00+00:00,2024-10-01T04:45:00+00:00,15.0,0.9910491064539029,sub-hourly,8306,8784,94.558,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.009966687746825917,6.3712904832000135,0.68871517058926,421.0,84.0,Native sub-hourly data required hourly resampling,,,,,,100-1000 km² | 40-50,2.0
05426067,92.1996,47.15034,10-100 km²,40-50,43.087786,-88.376207,WI,07,True,200,,True,True,34327,2023-10-01T05:00:00+00:00,2024-10-01T04:45:00+00:00,15.0,0.9983103187088505,sub-hourly,8619,8784,98.122,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.007418024186779429,0.39855961578240007,0.4051273156268621,431.0,87.0,Native sub-hourly data required hourly resampling,,,,,,10-100 km² | 40-50,2.0
05503000,6.9147,8.191201,1-10 km²,<=20,39.7583735,-91.919057,MO,07,True,200,,True,True,0,,,,,sparse,0,8784,0.0,,m3/s,False,INSUFFICIENT,NO_DATA,,,,,,No 00060 observations returned for the probe window,,,,,,1-10 km² | <=20,3.0
05593600,48.9033,16.012,10-100 km²,<=20,39.26865987,-89.53397959,IL,07,True,200,,True,True,0,,,,,sparse,0,8784,0.0,,m3/s,False,INSUFFICIENT,NO_DATA,,,,,,No 00060 observations returned for the probe window,,,,,,10-100 km² | <=20,4.0
